title,company,location,salary,summary
Energy Data Policy Advisor,DEPT OF ENVIRONMENT PROTECTION,New York,65977,Benchmarking Data Disclosure. Manage process of gathering and releasing disclosure data via NYC Open Data and NYC Energy and Water Performance Map....
Quantitative Risk Analyst (Top Tier Hedgefund),Robert Walters,New York,115000,"Statistics, econometrics, finance, data science) or a quantitative employment history of 2-5 + years. They’re looking for someone who can build an equity risk..."
Law Librarian/ Research Analyst,Steffan & Co.,New York,90000,Law Librarian/ Research Analyst One of the world’s finest firms has a rare opportunity for a seasoned Librarian/ Research Analyst who will work as part of a
Senior Data Engineer ( Search / IR / Python / ML / NLP / AI...,Venturi Ltd,New York,175000,Senior Data Engineer / Search / IR / Python / Machine Learning / NLP / Natural Language processing / Information Retrieval / Data Science / Deep Learning / Text...
Sr. Data Scientist for Fortune 500 Company,Averity,New York,170000,Are you an experienced Senior Data Scientist looking to impact a Fortune 500's most important business decisions?...
Research Analyst,U.S. Federal Government,Washington DC,95826,"Experience using text analytics, text mining, and data science and analysis tools and software packages to organize and analyze data;..."
Operations Research Analyst,Department of the Treasury,Washington DC,109015,"Determining the types of data to be collected, formulating study methodologies, assisting functional activities in the implementation of operational segments..."
Computational Image Data Analysis Manager,Medical Science & Computing,Washington DC,100000,"Analysis of biopsy and resection samples from cancer patients receiving various treatments, especially immunotherapies, it is essential to develop integrated..."
Data/Research Analyst,"Eagle Technologies, Incorporated",Washington DC,69500,This individual will work with other data analyst to create on-line data visualization tools from substance abuse and/or mental health datasets that are...
Operations Research Analyst (ORA),Federal Aviation Administration,Washington DC,66916,Utilizes data collection systems such as automated system models to include:. Tableau) to transform data into interactive visualizations providing meaningful...
"Survey Statistician, GG-1530-13, Census-DEU-JNT",Department of Commerce,Washington DC,109015,"Interpreting, formulating, and applying statistical techniques to data management.; And 3) Researching and executing analytical and evaluative survey methods to..."
Supervisory Operations Research Analyst,Department of Health And Human Services,Washington DC,146833.5,"Develops alternative options to resolve complex data analysis. The Division of Quality Intelligence, Risk Analysis, and Modeling includes components that work..."
"Recent Graduate Survey Statistician, GS-1530-7/9/11, (Public...",Department of Commerce,Washington DC,65700.5,"Analyze and evaluate data. Assist in data collection operations. Or in the social sciences including demography, history, economics, social welfare, geography,..."
Senior Data Engineer,Piper Companies,Washington DC,195000,"Collaborate with a team of other data engineers, data scientists, and business subject matter experts to process data and prepare data sources...."
Health Scientist,Centers for Disease Control and Prevention,Washington DC,120186,Analyze scientific investigation data. This announcement is being used to create an inventory of applicants for Health Scientist positions and will be used to...
"Interdisciplinary, GS-0101,0180,0801,1550-12/13, Census-DE-S...",Department of Commerce,Washington DC,101477,Assisting with organizing and analyzing research data. Collecting behavioral data in a laboratory or field setting....
Social Science Research Analyst,U.S. Federal Government,Washington DC,85074.5,About the Agency Do you have a desire to: help SSA manage its Social Security programs? analyze and solve problems? help and advise millions of retired
Operations Research Analyst,Federal Aviation Administration,Washington DC,97825,"Business Component: Associate Administrator for Aviation Safety, Unmanned Aircraft Systems Integration Office, Research Division, AUS-300 Duties The"
Statistician (GIS Specialist),Department of Housing And Urban Development,Washington DC,109015,"Gather, analyze, and integrate geospatial data and determine how best data can be displayed using Geographic Information System (GIS) software...."
IFG Data Scientist Whiz!,IFG,Washington DC,120000,"Data Scientists need to analyze financial data, predict future trends, and isolate unexpected correlations. We have data and we need to identify key predictors...."
Statistician (Health) DEU,U.S. Federal Government,Washington DC,79305.5,"Evaluate, link and combine data from complex statistical surveys, census data, or other large data sets; Develop data for sampling, maintain a statistical..."
Statistical Data Analyst - US Citizen,PeopleTek,Washington DC,65000,"STATISTICAL DATA ANALYST*.  Extract insights from data, present recommendations that enable data-driven decisions...."
Data Scientist,Metropolitan Police Department,Washington DC,86711,"Or data visualization and interaction. The Data Scientist position is assigned to the Metropolitan Police Department (MPD), Executive Office of the Chief of..."
Staff Fellow (Mathematical Statistician),Department of Health And Human Services,Washington DC,101477,You will use statistical and mathematical methods to analyze and draw inferences from data submitted by animal drug applicants and to facilitate the Center...
IFG Data Scientist Whiz!,Interface Financial Group (IFG),Washington DC,120000,"Data Scientists need to analyze financial data, predict future trends, and isolate unexpected correlations. We have data and we need to identify key predictors...."
Research Fellow - Quality of Medical Products,Georgetown University Medical Center,Washington DC,62500,"Proposals should include title, objective, aim(s), methodologic and analytic approaches as well as data sources (if existing data will be utilized, source(s)..."
Analytic Methodologist,Central Intelligence Agency,Washington DC,72951,"They also partner with substantive experts and data scientists to develop and prototype new methodological approaches and tools, applying them in novel ways to..."
"Survey Statistician, GG-1530-14, Census-DE-PB",Department of Commerce,Washington DC,128825,As indicated in A above credit toward meeting statistical course requirements will be granted for courses in which 50 percent of the course content appears to...
PROGRAM SUPPORT SPECIALIST,Department of Defense,Washington DC,47354.5,"Analyze problems to identify significant factors, gather pertinent data, and recognize solutions; We prepare outstanding scientists and health care..."
Fellow for Clinical Epidemiology,"NCI, Epidemiology and Genomics Research Program",Washington DC,41700,And data analysis. Managing and analyzing epidemiologic and other data; Opportunities include working with teams of scientists and public health professionals...
Apps Developer,Central Intelligence Agency,Washington DC,90936,"Big Data concepts and technologies such as Apache Hadoop, Apache Hive, Solr, Cloudera, MapReduce, R, Spark, Kafka, NiFi and the ELK(ElasticSearch, Logstash..."
Supervisory Statistician,Department of Health,Washington DC,132745,"Demonstrated ability to establish goals and objectives, develop and implement programs and activities to collect and analyze data related to vital records data..."
Big Data Cloud Architect,Qlaire Systems Inc.,Washington DC,150000,"Demonstrated understanding of Master data Management principles, data architecture, data modeling, data governance, and data security...."
Senior Data Scientist,Piper Companies,Washington DC,210000,"Responsibilities for the Lead Data Scientist include:. Work with Data Governance Board to create dataset requirements, manage data definitions and schemas and..."
Medical Technologist (Molecular Systems),Department of the Army,Washington DC,70376,Confirm test results and develop data that may be used by physicians in determining the presence and extent of disease or in support of medical research....
Institutional Review Board Coordinator,Department of the Army,Washington DC,69960,Skill in Records and Data Management. The length of the probationary period for the Engineers and Scientists Occupational Family will be three years....
Data Scientist,Piper Companies,Washington DC,210000,"Responsibilities for the Lead Data Scientist include:. Work with Data Governance Board to create dataset requirements, manage data definitions and schemas and..."
"Data Scientist, Machine Learning (Perm - DC)",Compri,Washington DC,110000,"Compri Consulting's global client is seeking a Data Scientist for a permanent opportunity located in Washington, D.C...."
Machine Learning Expert,Workbridge Associates,Washington DC,125000,Knowledge of data structure and algorithm design. 2+ years of professional experience in machine learning and data science....
ALL Full Scope Poly Candidates - Apply NOW!,"Edwards Management Consultants, Inc.",Washington DC,180000,"EMC, Inc. is currently searching for candidates with ACTIVE full scope poly/lifestyle/ISSA clearance who are looking to work on a contract located in the"
Data Scientist,National Geospatial-Intelligence Agency,Washington DC,90941,"Data Scientist **AMENDED**. Data Management, Data Engineering, Data Science, Computer Science, Software Engineering, Statistics, Applied Mathematics, Applied..."
Software Engineer,NatureServe,Washington DC,72500,Experience with big data. Most of these projects have a very heavy focus on geospatial data. Other applications provide conservation professionals and planners...
"Real Estate and Urban Planning Research Analyst (12726, Grad...",The Maryland-National Capital Park and Planning Co...,Washington DC,79475,"Experience with Costar and other real estate data sources. The Research and Special Projects Division (R&SP) is responsible for demographic, land use and..."
Machine Learning,Jobspring Partners,Washington DC,140000,"Professional Data Science experience. Familiarity with big data technologies (Hadoop) is preferred. Right now, this rapidly expanding division is seeking..."
Statistician - Healthcare or Pharma Industry,Contingent/Direct Consultants,Washington DC,150000,"Experience of Development, program design and data analysis and interpretation. B&I drives good design to generate the data needed for quality decision making...."
Attorney Advisor (NPPLD/IP),Department of Homeland Security,Washington DC,136960.5,"Advising on FAR-based data rights clauses; Advising on copyright, licensing, data rights, open source software, common law intellectual property rights, patent..."
Software Engineer Intern,digiBlitz Inc,Washington DC,42500,- Knowledge on Hadoop or other Big Data Analytics tools. Implementation and integration of heterogeneous devices and data streams....
Data Scientist ( Chinese Speaking / Deep Learning / NLP / AI...,Venturi Ltd,Washington DC,107500,"As the Senior Data Scientist you will:. Senior Data Scientist, Chinese Speaking, Deep Learning, NLP Engineer, AI, Natural Language, Data Science, Machine..."
Embedded Engineer Intern,digiBlitz Inc,Washington DC,42500,Implementation and integration of heterogeneous devices and data streams. Demonstrated experience with instrument and controller software troubleshooting and...
Medical Technician,Department of Defense,Washington DC,51684.5,"Check specimens, troubleshoot, prepare reagents, calibrate and operate instruments, perform analyses, correct malfunctions, calculate results, interpret and..."
Data Scientist,Workbridge Associates,Washington DC,95000,This Data Scientist will be responsible for analyzing the company’s massive multi-dimensional data repository. Experience working with Big Data....
Data Scientist,Robert Walters,Washington DC,90000,About the Data Scientist:. Key Responsibilities of the Data Scientist:. As a Data Scientist you should have the following attributes:....
Data Scientist - OUSD(I)-HCMO-DCIPS,Red Gate Group,Washington DC,112500,"Data Scientist (full-time contract). Under this task, the Data Scientist contractor shall:. Data Analysis / IT Requirements:...."
Data Analyst,Jobspring Partners,Washington DC,125000,Experience using data visualization tools such as Tableau to analyze and present data. Strong understanding of data warehouse concepts....
Quantitative Analyst,Relus Technologies LLC,San Francisco,125000,"Participate in related activities including various data governance and data profiling initiatives, application development and vendor evaluation...."
Director of Data Science (NYC),Averity,San Francisco,180000,You will be leading a team of two data scientists (one mid-level data scientist and one junior data scientist)....
Data Scientist,Flowcast,San Francisco,115000,Highlight and review data anomalies and quality issues. Construct ETL processes to enable data analytics capabilities on our platform....
Laboratory Technician III,"NextGen Jane, Inc.",San Francisco,50000,Scientist will be responsible for optimization of protocols and troubleshooting difficult sample types and low input library preparations....
Director of Data Science,Workbridge Associates,San Francisco,200000,They are a B2B ride sharing and fleet management application trying to hire their first Data Scientist to build a team....
Lecturer - Sutardja Center for Entrepreneurship & Technology,University of California Berkeley,San Francisco,108607.5,"Product Management, Mobile Applications, Technology Entrepreneurship, Social Entrepreneurship, Technology Firm Leadership, Organizational Behavior, Patent..."
Machine Learning Engineer,Glocomms,San Francisco,162500,"Full Stack Machine Learning Engineer Bay Area $125k-200k plus bonus and benefits Key Skills: JavaScript, Python, HTML5, ReactJS Powerhouse AdTech firm"
Senior Software Engineer,Blackstone Technology Group,San Francisco,140000,"Work with business stakeholders, test engineers, program managers, release engineers, enterprise architects, data architects, and data scientists to drive..."
Data Scientist (Natural Language Processing),Corporate Labs Technology,San Francisco,145000,"Natural Language Processing Brisbane, CA Sign on bonus Stocks! Up to 10% bonuses $110-180k depending on experience Fast growing social media company is"
Advanced Medical Technologist (varies sections),"Veterans Affairs, Veterans Health Administration",San Francisco,91452.5,"Skilled in informatics, laboratory data flow and the understanding of laboratory processes. Must currently possess or be eligible for and pass within one year..."
Machine Learning Engineer,ConSol Partners,San Francisco,137500,The Company:  Our client is an algorithm and AI centric company whose goal is to achieve safe algorithmic navigation completely independent from any human
Sales Engineer,Pentaho a Hitachi Company,San Francisco,195000,"ETL, data warehousing and data engineering. Collaborate with big data experts, data scientists, consultants in Pentaho and Hitachi to deliver advanced custom..."
Data Engineer (Machine Learning),Glocomms,San Francisco,160000,You’ll be collecting and reprocessing data and designing and using machine learning algorithms on production data....
Data Scientist Data Modeling (Machine Learning Python),"Kennedy Unlimited Inc, Professional Staffing",San Francisco,152500,Responsibilities of the Data Scientist Data Modeling (Machine Learning Python). Experience coding in R and Python and big data environments Hadoop Aster....
Machine Learning Research Engineer,Strategic Employment Partners,San Francisco,120000,My client is a leading technology solutions provider for the medical and healthcare industry currently looking to bring on a Research Engineer to join the
Group Head BAT Biologics,RecruitforKicks,San Francisco,200000,"Collaborate with the Process Dynamics and Optimization (PDO) group to align analytical data generation, data management, data evaluation and process control..."
Head of Machine Learning,Workbridge Associates,San Francisco,175000,Ability to make sense of unlabeled data. Machine learning platform startup in downtown San Francisco is hiring their Head of Machine Learning who will be hands...
Insurance Marketing Data Scientist #76439,Ezra Penland Actuarial Recruitment,San Francisco,237500,Property and casualty insurance startup plans to hire an Insurance Marketing Data Scientist in California for Position 76439....
Senior Data Scientist,Robert Walters,San Francisco,165000,"Data pipeline engineering. We are working with a growing startup in the e-commerce space, and they are looking for a Senior Data Scientist...."
Data Scientist ( IoT Startup),Workbridge Associates,San Francisco,170000,A San Francisco based mobile application enhancement company is hiring a Data Scientist to apply scientific principles to data to support engineering and...
Head of Data Sciences,Harnham,San Francisco,240000,"Data Science, Data Scientist, Deep Learning, Tensorflow, Neural Networks, Big Data, R, SQL, Python, Insight, Analytics, Data, Statistics, Modelling, Machine..."
Senior Software Engineer - Machine Learning,Strategic Employment Partners,San Francisco,120000,You understand data and have worked with large amounts of data in the past. Are you interested in artificial intelligence?...
